[Data: 20/04/27 23:55:17][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/04/27 23:55:19][Room.RemovePlayer] Jogador '5761' 'Zeus24'; OldSlot: 3; NewSlot: -1
[Data: 20/04/27 23:55:20][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 2; NewSlot: -1
[Data: 20/04/27 23:55:41][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 0
[Data: 20/04/27 23:55:46][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/04/27 23:55:47][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 2
[Data: 20/04/27 23:55:49][Room.SwitchNewSlot] Jogador '5760' 'CJonaas'; OldSlot: 2; NewSlot: 3
[Data: 20/04/27 23:55:49][Room.addPlayer] Jogador '5761' 'Zeus24'; OldSlot: -1; NewSlot: 2
[Data: 20/04/27 23:56:35][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/04/27 23:56:36][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 3; NewSlot: -1
[Data: 20/04/27 23:56:38][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/04/27 23:56:38][Room.RemovePlayer] Jogador '5761' 'Zeus24'; OldSlot: 2; NewSlot: -1
[Data: 20/04/27 23:56:48][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/04/27 23:56:51][Room.addPlayer] Jogador '5761' 'Zeus24'; OldSlot: -1; NewSlot: 1
[Data: 20/04/27 23:56:55][Room.addPlayer] Jogador '5763' 'Destroylife1000'; OldSlot: -1; NewSlot: 2
[Data: 20/04/27 23:56:58][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 3
[Data: 20/04/27 23:57:02][Room.SwitchNewSlot] Jogador '5760' 'CJonaas'; OldSlot: 3; NewSlot: 4
[Data: 20/04/27 23:57:07][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 2; NewSlot: 3
[Data: 20/04/27 23:58:20][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/04/27 23:58:25][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 00:11:11][Room.RemovePlayer] Jogador '5761' 'Zeus24'; OldSlot: 1; NewSlot: -1
[Data: 20/04/28 00:13:50][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 4; NewSlot: -1
[Data: 20/04/28 00:13:55][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 1
[Data: 20/04/28 00:13:57][Room.SwitchNewSlot] Jogador '5760' 'CJonaas'; OldSlot: 1; NewSlot: 2
[Data: 20/04/28 00:18:55][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 2; NewSlot: -1
[Data: 20/04/28 00:30:19][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 3; NewSlot: 2
[Data: 20/04/28 00:36:38][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 2; NewSlot: 1
[Data: 20/04/28 00:40:09][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 2
[Data: 20/04/28 00:40:14][AllUtils.TryBalancePlayer] Jogador '5760' 'CJonaas'; OldSlot: 2; NewSlot: 2
[Data: 20/04/28 00:40:47][Room.SwitchNewSlot] Jogador '5760' 'CJonaas'; OldSlot: 3; NewSlot: 2
[Data: 20/04/28 00:41:31][AllUtils.TryBalancePlayer] Jogador '5760' 'CJonaas'; OldSlot: 2; NewSlot: 2
[Data: 20/04/28 00:50:14][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 00:50:22][Room.SwitchNewSlot] Jogador '5763' 'Destroylife1000'; OldSlot: 1; NewSlot: 0
[Data: 20/04/28 00:52:54][Room.addPlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: -1; NewSlot: 1
[Data: 20/04/28 00:54:18][Room.RemovePlayer] Jogador '5763' 'Destroylife1000'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 00:55:18][Room.RemovePlayer] Jogador '5759' 'GM DeadzoneV5'; OldSlot: 1; NewSlot: -1
[Data: 20/04/28 00:57:54][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 3; NewSlot: -1
[Data: 20/04/28 02:12:00][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 0
[Data: 20/04/28 02:38:00][Room.RemovePlayer] Jogador '5760' 'CJonaas'; OldSlot: 0; NewSlot: -1
[Data: 20/04/28 02:43:33][Room.addPlayer] Jogador '5760' 'CJonaas'; OldSlot: -1; NewSlot: 0
